Unnamed: 0,model,recall,precision,model_name,model_type
614,multi-frame-simple-mist-aug,0.14,1.0,simple-mist-aug,multi-frame
615,multi-frame-simple-mist-aug,0.15,1.0,simple-mist-aug,multi-frame
616,multi-frame-simple-mist-aug,0.16,1.0,simple-mist-aug,multi-frame
617,multi-frame-simple-mist-aug,0.17,1.0,simple-mist-aug,multi-frame
618,multi-frame-simple-mist-aug,0.18,1.0,simple-mist-aug,multi-frame
619,multi-frame-simple-mist-aug,0.19,1.0,simple-mist-aug,multi-frame
620,multi-frame-simple-mist-aug,0.2,1.0,simple-mist-aug,multi-frame
621,multi-frame-simple-mist-aug,0.21,1.0,simple-mist-aug,multi-frame
622,multi-frame-simple-mist-aug,0.22,1.0,simple-mist-aug,multi-frame
623,multi-frame-simple-mist-aug,0.23,1.0,simple-mist-aug,multi-frame
624,multi-frame-simple-mist-aug,0.24,1.0,simple-mist-aug,multi-frame
625,multi-frame-simple-mist-aug,0.25,1.0,simple-mist-aug,multi-frame
